Date,Open,High,Low,Close,Adj Close,Volume
2008-03-04,102.599998,104.089996,102.129997,103.720001,72.753304,1872900
2008-03-05,103.599998,104.900002,102.889999,104.709999,73.447762,2059400
2008-03-06,103.400002,104.930000,103.400002,104.150002,73.054947,1927600
2008-03-07,103.129997,104.599998,102.769997,103.180000,72.374535,1736300
2008-03-10,102.290001,103.010002,100.150002,100.320000,70.368423,2369800
2008-03-11,100.059998,101.699997,99.370003,101.660004,71.308365,3281800
2008-03-12,102.000000,102.180000,100.120003,100.449997,70.459595,1985300
2008-03-13,99.550003,101.400002,98.500000,101.110001,70.922569,2132700
2008-03-14,101.980003,102.680000,99.010002,100.540001,70.522720,2891700
2008-03-17,98.349998,101.110001,98.349998,100.050003,70.179039,3285300
2008-03-18,101.750000,101.750000,99.910004,101.550003,71.231216,3538000
2008-03-19,101.839996,103.250000,100.709999,100.709999,70.641975,2353200
2008-03-20,100.849998,101.849998,98.449997,100.050003,70.179039,3444100
2008-03-24,100.260002,101.309998,99.769997,100.779999,70.691093,1710900
2008-03-25,101.269997,102.290001,100.000000,102.000000,71.546844,1363800
2008-03-26,101.669998,101.669998,100.559998,101.230003,71.006729,1361300
2008-03-27,101.599998,101.599998,99.900002,100.040001,70.172035,1336600
2008-03-28,100.379997,100.889999,99.760002,100.180000,70.270248,1552200
2008-03-31,100.339996,100.610001,98.440002,99.300003,69.652946,2439400
2008-04-01,99.959999,101.510002,99.279999,101.330002,71.076866,2040000
2008-04-02,101.220001,102.000000,100.029999,100.209999,70.291267,2501500
2008-04-03,99.809998,100.120003,98.500000,99.029999,69.463585,3389500
2008-04-04,99.540001,101.339996,99.000000,100.809998,70.712128,2384800
2008-04-07,101.580002,102.830002,101.070000,102.250000,71.722229,2555300
2008-04-08,102.250000,104.139999,102.250000,103.489998,72.592003,2658400
2008-04-09,103.400002,104.209999,102.559998,103.110001,72.325432,1531000
2008-04-10,103.320000,103.320000,102.349998,102.809998,72.115005,1258000
2008-04-11,102.449997,103.699997,101.879997,103.010002,72.255310,1492200
2008-04-14,102.769997,104.080002,102.769997,103.320000,72.472748,1305400
2008-04-15,104.180000,104.180000,101.910004,103.110001,72.325432,1956000
2008-04-16,103.120003,104.650002,103.000000,104.650002,73.405663,2064900
2008-04-17,104.139999,105.150002,104.000000,104.360001,73.202232,1303700
2008-04-18,105.690002,106.459999,105.089996,106.239998,74.520958,1714800
2008-04-21,106.160004,106.599998,104.809998,106.570000,74.752449,1481200
2008-04-22,103.879997,105.250000,103.180000,103.790001,72.802437,2116300
2008-04-23,103.989998,108.000000,103.790001,107.879997,75.671303,2638100
2008-04-24,107.169998,107.529999,105.870003,106.599998,74.773460,1681200
2008-04-25,106.889999,107.980003,106.190002,107.629997,75.495964,1202100
2008-04-28,107.010002,108.309998,106.410004,106.650002,74.808533,1562500
2008-04-29,106.309998,107.080002,105.550003,105.889999,74.275429,1500700
2008-04-30,106.150002,107.290001,105.589996,106.040001,74.380669,1572100
2008-05-01,105.760002,107.830002,105.760002,107.720001,75.559082,1428300
2008-05-02,108.449997,108.449997,105.779999,106.930000,75.004936,1729200
2008-05-05,106.459999,107.889999,106.070000,106.620003,74.787521,1691400
2008-05-06,106.230003,106.949997,105.699997,106.529999,74.724373,1334000
2008-05-07,106.379997,107.180000,105.010002,105.919998,74.296501,2051700
2008-05-08,106.110001,106.550003,105.309998,105.839996,74.240364,1300500
2008-05-09,105.500000,106.279999,104.940002,105.839996,74.240364,950400
2008-05-12,105.839996,107.050003,105.529999,106.970001,75.032997,1101000
2008-05-13,107.230003,108.660004,107.230003,108.500000,76.106224,1742200
2008-05-14,108.699997,110.000000,108.500000,108.709999,76.253479,1853800
2008-05-15,108.980003,109.230003,108.080002,109.059998,76.499016,1420400
